name	isolate	host	country	date	latitude	longitude
MN996532.2	RaTG13	Rhinolophus affinis	Yunnan	2013-07-24	23.29298412	101.3836952
MG772933.1	bat-SL-CoVZC45	Rhinolophus pusillus	Zhejiang	2017-02	29.99128034	122.1944505
MG772934.1	bat-SL-CoVZXC21	Rhinolophus pusillus	Zhejiang	2015-07	29.99128034	122.1944505
MW251308.1	RacCS203	Rhinolophus acuminatus	Thailand	2020-06-19	13.409845054231498	101.88015941162524
MZ081381.1	bat/Yunnan/RpYN06/2020	Rhinolophus pusillus	Yunnan	2020-05-25	21.47195673	101.556792
MW703458.1	PrC31	Rhinolophus pusillus	Yunnan	2018-08	24.26621094	101.4905298
MZ937000.1	BANAL-20-52/Laos/2020	Rhinolophus malayanus	Laos	2020-07-05	18.66585993222259	102.14923141373971
MZ937001.1	BANAL-20-103/Laos/2020	Rhinolophus pusillus	Laos	2020-07-07	18.66585993222259	102.14923141373971
MZ937002.1	BANAL-20-116/Laos/2020	Rhinolophus malayanus	Laos	2020-07-07	18.66585993222259	102.14923141373971
MZ937003.1	BANAL-20-236/Laos/2020	Rhinolophus marshalli	Laos	2020-07-10	18.66585993222259	102.14923141373971
MZ937004.1	BANAL-20-247/Laos/2020	Rhinolophus malayanus	Laos	2020-07-10	18.66585993222259	102.14923141373971
OK017803.1	HN2021A	Rhinolophus pusillus	Hunan	2021-02	28.02499168710197	111.30904305284376
OK017805.1	HN2021G	Rhinolophus pusillus	Hunan	2021-03	28.02499168710197	111.30904305284376
OK017806.1	YN2021	Rhinolophus pusillus	Yunnan	2021-04	24.2662109374504	101.49052981981724
EPI_ISL_852604	RshSTT182	Rhinolophus shameli	Cambodia	2010-12-06	13.72259968	106.25267209999998
EPI_ISL_412977	RmYN02	Rhinolophus malayanus	Yunnan	2019-06-25	21.47195672907145	101.556792038927
OP963576.1	BtSY2	Rhinolophus pusillus	Yunnan	2018	25.0329	101.54615
OK287355.1	BetaCoV_Yunnan_Rp_JCC9_2020	Rhinolophus blythi	Yunnan	2020-03	24.2662109374504	101.49052981981724
OR233324.1	Ra22QT77	Rhinolophus affinis	Vietnam	2022-11-03	16.72	106.7
OR233323.1	Ra22QT135	Rhinolophus affinis	Vietnam	2022-11-04	16.72	106.7
OR233302.1	Rp22DB159	Rhinolophus pusillus	Vietnam	2022-06-26	22.39	102.24
RacCS20583	RacCS20583	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
RacCS20588	RacCS20588	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
RacCS20600b	RacCS20600b	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
RacCS20605	RacCS20605	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
RacCS20637	RacCS20637	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
RacCS20600a	RacCS20600a	Rhinolophus acuminatus	Thailand	2020-07-22	13.409845054231498	101.88015941162524
